x,Curve1
-10.118,1.71587
-4.997,1.63111
0.007,1.58727
5.008,1.49666
10.13,1.42651
14.89,1.3096
19.893,1.24823
24.895,1.17223
29.663,1.14885
35.026,1.10793
39.668,0.99979
44.909,0.92965
49.793,0.86827
