x,Curve1
-10.021,1.45866
-4.899,1.38559
0.345,1.3476
5.109,1.27745
10.231,1.21315
15.112,1.11086
19.997,1.06409
25.12,1.00564
30.007,0.97933
35.013,0.95595
39.894,0.85658
45.255,0.7952
50.259,0.73967
