x,Curve1
2.30368,0.32944
2.69905,0.13147
2.90205,0.04648
3.00179,-0.00602
3.16919,-0.08685
3.30097,-0.14349
3.47906,-0.23238
3.69276,-0.33344
3.99909,-0.48697
